song,artist,releaseYear,wasFirst,hasYear,playCount
My Town,Michael Stanley,,1,0,1
Rosewood Bitters,Michael Stanley,,1,0,1
Strike up the Band,Michael Stanley,,1,0,1
Beds Are Burning,Midnight Oil,1988,1,1,6
Devil With the Blue Dress On,Mitch Ryder,1966,1,1,1
I Melt With You,Modern English,1982,1,1,15
Sugar Boogie,Molkie Cole,,1,0,1
Flirtin' With Disaster,Molly Hatchet,,1,0,35
Dreams I'll Never See,Molly Hatchet,,1,0,3
What Do All The People Know,Monroes,,1,0,2
Bad Motor Scooter,Montrose,1973,1,1,30
Rock Candy,Montrose,1973,1,1,19
Space Station #5,Montrose,1973,1,1,1
Home Sweet Home,Motley Crue,1985,1,1,29
Smokin' in the Boys Room,Motley Crue,,1,0,28
"Girls, Girls, Girls",Motley Crue,1987,1,1,25
Kickstart My Heart,Motley Crue,1989,1,1,25
Dr. Feelgood,Motley Crue,1989,1,1,17
Wild Side,Motley Crue,1987,1,1,11
Looks That Kill,Motley Crue,,1,0,8
Don't Go Away Mad (Just Go Away),Motley Crue,1989,1,1,4
Same Ol' Situation,Motley Crue,1989,1,1,4
Shout at the Devil,Motley Crue,1983,1,1,4
Piece of Your Action,Motley Crue,,1,0,1
All the Young Dudes,Mott the Hoople,1972,1,1,12
Mississippi Queen,Mountain,1970,1,1,25
Moon Rider,Moxy,,1,0,1
Addicted To That Rush,Mr. Big,,1,0,1
In the Summertime,Mungo Jerry,1970,1,1,2
Hair Of The Dog,Nazareth,1975,1,1,53
Love Hurts,Nazareth,1976,1,1,26
Rockin' In the Free World,Neil Young,1989,1,1,38
Cinnamon Girl,Neil Young,1969,1,1,29
Heart of Gold,Neil Young,1972,1,1,17
Southern Man,Neil Young,1970,1,1,16
"Hey Hey, My My",Neil Young,1978,1,1,14
Old Man,Neil Young,1972,1,1,13
The Needle and the Damage Done,Neil Young,1972,1,1,4
"My My, Hey Hey",Neil Young,1979,1,1,3
Down by the River,Neil Young,1969,1,1,2
Like a Hurricane,Neil Young,1977,1,1,2
Powderfinger,Neil Young,1978,1,1,2
Sugar Mountain,Neil Young,1969,1,1,2
Everybody Knows This Is Nowhere,Neil Young,,1,0,1
When You Dance I Can Really Love,Neil Young,,1,0,1
Show Me The Way,Nektar,,1,0,1
Rockstar,Nickelback,2005,1,1,10
How You Remind Me,Nickelback,2001,1,1,4
Photograph,Nickelback,2005,1,1,1
Someday (Single Mix),Nickelback,,1,0,1
Sister Christian,Night Ranger,1983,1,1,32
(You Can Still) Rock in America,Night Ranger,1983,1,1,3
Don't Tell Me You Love Me,Night Ranger,1982,1,1,2
Rumors In The Air,Night Ranger,,1,0,1
When You Close Your Eyes,Night Ranger,1983,1,1,1
Come As You Are,Nirvana,1991,1,1,39
Smells Like Teen Spirit,Nirvana,1991,1,1,24
All Apologies,Nirvana,1993,1,1,15
In Bloom,Nirvana,1991,1,1,11
Lithium,Nirvana,1991,1,1,10
The Man Who Sold the World,Nirvana,,1,0,4
About a Girl,Nirvana,1989,1,1,2
On a Plain,Nirvana,1991,1,1,2
Polly,Nirvana,1991,1,1,2
Dumb,Nirvana,1993,1,1,1
Spirit In The Sky,Norman Greenbaum,1969,1,1,31
This Is The Time,Nothing More,,1,0,3
Wonderwall,Oasis,1995,1,1,3
STILL THE ONE,Orleans,1976,1,1,1
(Sittin' On) The Dock of the Bay,Otis Redding,1968,1,1,5
If You Wanna Get to Heaven,Ozark Mountain Daredevils,1973,1,1,2
Jackie Blue,Ozark Mountain Daredevils,1975,1,1,2
Crazy Train,Ozzy Osbourne,1980,1,1,79
Flying High Again,Ozzy Osbourne,1981,1,1,44
"Mama, I'm Coming Home",Ozzy Osbourne,1991,1,1,31
Over the Mountain,Ozzy Osbourne,1981,1,1,16
Shot in the Dark,Ozzy Osbourne,1986,1,1,10
I Don't Know,Ozzy Osbourne,1980,1,1,8
No More Tears,Ozzy Osbourne,1991,1,1,8
Bark At The Moon,Ozzy Osbourne,1983,1,1,6
Mr. Crowley,Ozzy Osbourne,1980,1,1,5
See You on the Other Side,Ozzy Osbourne,,1,0,3
Goodbye To Romance,Ozzy Osbourne,1980,1,1,2
Perry Mason,Ozzy Osbourne,1995,1,1,2
Time After Time,Ozzy Osbourne,,1,0,2
Changes,Ozzy Osbourne,,1,0,1
Diary Of A Madman,Ozzy Osbourne,1981,1,1,1
Mr. Tinkertrain,Ozzy Osbourne,1992,1,1,1
Purple Haze,Ozzy Osbourne,,1,0,1
Road To Nowhere,Ozzy Osbourne,1991,1,1,1
Rocky Mountain Way,Ozzy Osbourne,,1,0,1
Heartbreaker,Pat Benatar,1979,1,1,80
Hit Me With Your Best Shot,Pat Benatar,1980,1,1,62
Love Is A Battlefield,Pat Benatar,1983,1,1,28
We Belong,Pat Benatar,1984,1,1,14
Shadows Of The Night,Pat Benatar,1982,1,1,8
Fire and Ice,Pat Benatar,,1,0,1
Hell Is for Children,Pat Benatar,1980,1,1,1
Invincible,Pat Benatar,1985,1,1,1
Treat Me Right,Pat Benatar,,1,0,1
You Better Run,Pat Benatar,1980,1,1,1
Boom Boom/,Pat Travers,,1,0,1
Snortin Whiskey,Pat Travers,,1,0,1
Uncle Albert/Admiral Halsey,Paul McCartney & Linda McCartney,1971,1,1,2
The Back Seat Of My Car,Paul McCartney & Linda McCartney,1971,1,1,1
Too Many People,Paul McCartney & Linda McCartney,1971,1,1,1
Live and Let Die,Paul McCartney & Wings,1973,1,1,85
Maybe I'm Amazed,Paul McCartney & Wings,1970,1,1,53
Band on the Run,Paul McCartney & Wings,1973,1,1,50
Jet,Paul McCartney & Wings,1973,1,1,12
Hi Hi Hi,Paul McCartney & Wings,,1,0,6
Helen Wheels,Paul McCartney & Wings,1973,1,1,4
Nineteen Hundred and Eighty Five,Paul McCartney & Wings,,1,0,4
Uncle Albert/Admiral Halsey,Paul McCartney & Wings,1971,1,1,4
Coming Up,Paul McCartney & Wings,1980,1,1,3
Junior's Farm,Paul McCartney & Wings,1974,1,1,3
Listen To What The Man Says,Paul McCartney & Wings,,1,0,3
Silly Love Songs,Paul McCartney & Wings,1976,1,1,3
Another Day,Paul McCartney & Wings,,1,0,2
Venus and Mars/Rock Show,Paul McCartney & Wings,1975,1,1,2
With a Little Luck,Paul McCartney & Wings,,1,0,2
Birthday (Live),Paul McCartney & Wings,,1,0,1
Day Tripper,Paul McCartney & Wings,,1,0,1
Hello Goodbye,Paul McCartney & Wings,,1,0,1
Helter Skelter,Paul McCartney & Wings,,1,0,1
Hey Jude (Live),Paul McCartney & Wings,,1,0,1
Let 'Em In,Paul McCartney & Wings,,1,0,1
Let Me Roll It,Paul McCartney & Wings,1973,1,1,1
My Love,Paul McCartney & Wings,1973,1,1,1
Me And Julio Down By The Schoolyard,Paul Simon,1972,1,1,6
Kodachrome,Paul Simon,1973,1,1,2
50 Ways to Leave Your Lover,Paul Simon,1975,1,1,1
Loves Me Like a Rock,Paul Simon,1973,1,1,1
You Can Call Me Al,Paul Simon,1986,1,1,1
Better Man,Pearl Jam,1994,1,1,17
Alive,Pearl Jam,1991,1,1,16
Even Flow,Pearl Jam,1991,1,1,16
Jeremy,Pearl Jam,1991,1,1,16
Black,Pearl Jam,1991,1,1,11
Daughter,Pearl Jam,1993,1,1,10
Lightning Bolt,Pearl Jam,2013,1,1,4
Last Kiss,Pearl Jam,1999,1,1,3
Sirens,Pearl Jam,2013,1,1,3
Dissident,Pearl Jam,1994,1,1,2
Elderly Woman Behind the Counter in a Small Town,Pearl Jam,1993,1,1,2
Yellow Ledbetter,Pearl Jam,1992,1,1,2
Not for You,Pearl Jam,1994,1,1,1
Let My Love Open the Door,Pete Townshend,1980,1,1,38
Rough Boys,Pete Townshend,1980,1,1,2
GONNA GET YA,Pete Townshend,,1,0,1
"Baby, I Love Your Way",Peter Frampton,1975,1,1,41
Do You Feel Like We Do,Peter Frampton,1973,1,1,37
Show Me the Way,Peter Frampton,1975,1,1,30
Something's Happening/,Peter Frampton,,1,0,1
Sledgehammer,Peter Gabriel,1986,1,1,36
Solsbury Hill,Peter Gabriel,1977,1,1,31
In Your Eyes,Peter Gabriel,1986,1,1,28
Big Time,Peter Gabriel,1986,1,1,24
Red Rain,Peter Gabriel,1986,1,1,8
Games Without Frontiers,Peter Gabriel,1980,1,1,3
SHOCK THE MONKEY,Peter Gabriel,1982,1,1,2
In the Air Tonight,Phil Collins,1981,1,1,93
I Don't Care Anymore,Phil Collins,,1,0,38
Don't Lose My Number,Phil Collins,,1,0,1
Comfortably Numb,Pink Floyd,1979,1,1,92
Wish You Were Here,Pink Floyd,1975,1,1,87
Money,Pink Floyd,1973,1,1,84
Time,Pink Floyd,1973,1,1,74
Hey You,Pink Floyd,1979,1,1,65
Run Like Hell,Pink Floyd,1979,1,1,59
Young Lust,Pink Floyd,1979,1,1,59
"Another Brick in the Wall, Pt. 2",Pink Floyd,1979,1,1,58
Learning to Fly,Pink Floyd,1987,1,1,44
The Happiest Days Of Our Lives/another Brick In The Wall,Pink Floyd,1979,1,1,44
Brain Damage /Eclipse,Pink Floyd,1973,1,1,41
Have a Cigar,Pink Floyd,1975,1,1,41
Welcome To The Machine,Pink Floyd,1975,1,1,41
Speak to Me/Breathe,Pink Floyd,1973,1,1,30
Another Brick In The Wall,Pink Floyd,1979,1,1,29
Us and Them,Pink Floyd,1973,1,1,25
"Careful With That Axe, Eugene",Pink Floyd,1969,1,1,23
Brain Damage,Pink Floyd,1973,1,1,21
Mother,Pink Floyd,1979,1,1,19
Fearless,Pink Floyd,1971,1,1,17
On The Turning Away,Pink Floyd,1987,1,1,15
Empty Spaces/young Lust,Pink Floyd,1979,1,1,12
One Of These Days,Pink Floyd,1971,1,1,12
Goodbye Blue Sky,Pink Floyd,1979,1,1,11
Breathe,Pink Floyd,1973,1,1,9
Empty Spaces,Pink Floyd,1979,1,1,8
Keep Talking,Pink Floyd,1994,1,1,4
The Great Gig In the Sky,Pink Floyd,1973,1,1,4
Astronomy Domine,Pink Floyd,1967,1,1,3
Any Colour You Like,Pink Floyd,1973,1,1,2
Shine On You Crazy Diamond,Pink Floyd,1975,1,1,2
The Dogs Of War,Pink Floyd,1987,1,1,2
Arnold Layne,Pink Floyd,1967,1,1,1
Dogs,Pink Floyd,1977,1,1,1
One Slip,Pink Floyd,1987,1,1,1
See Emily Play,Pink Floyd,1967,1,1,1
Set The Controls For The Heart Of The Sun,Pink Floyd,1968,1,1,1
Take It Back,Pink Floyd,1994,1,1,1
Time/Gig in The Sky,Pink Floyd,1973,1,1,1
Every Rose Has Its Thorn,Poison,1988,1,1,22
Nothin' But A Good Time,Poison,1988,1,1,21
Look What The Cat Dragged In,Poison,,1,0,1
Something To Believe In,Poison,1990,1,1,1
Talk Dirty To Me,Poison,1987,1,1,1
A Whiter Shade of Pale,Procol Harum,1967,1,1,3
A Salty Dog,Procol Harum,1969,1,1,1
Blurry,Puddle of Mudd,2001,1,1,1
Amie,Pure Prairie League,,1,0,4
Bohemian Rhapsody,Queen,1975,1,1,119
Another One Bites the Dust,Queen,1980,1,1,102
We Will Rock You/We Are The Champions,Queen,1977,1,1,89
Fat Bottomed Girls,Queen,1978,1,1,70
Killer Queen,Queen,1974,1,1,69
Somebody To Love,Queen,1976,1,1,69
Crazy Little Thing Called Love,Queen,1979,1,1,57
You're My Best Friend,Queen,1976,1,1,57
We Are the Champions,Queen,1977,1,1,15
We Will Rock You,Queen,1977,1,1,14
Under Pressure,Queen,1981,1,1,12
Bicycle Race/fat Bottomed Girls,Queen,1978,1,1,5
Keep Yourself Alive,Queen,1973,1,1,4
Tie Your Mother Down,Queen,1976,1,1,4
Bicycle Race,Queen,1978,1,1,3
Don't Stop Me Now,Queen,1977,1,1,2
It's Late,Queen,,1,0,1
One Vision,Queen,1985,1,1,1
THESE ARE THE DAYS OF OUR LI,Queen,1991,1,1,1
Under Pressure,Queen / David Bowie,1981,1,1,73
No One Knows,Queens of the Stone Age,2002,1,1,1
I Don't Believe In Love,Queensryche,,1,0,23
Eyes Of A Stranger,Queensryche,,1,0,18
Silent Lucidity,Queensryche,1990,1,1,10
Jet City Woman,Queensryche,1990,1,1,6
Another Rainy Night,Queensryche,1990,1,1,2
Fresh Air,Quicksilver Messenger Service,,1,0,1
Pride of Man,Quicksilver Messenger Service,,1,0,1
Cum On Feel the Noize,Quiet Riot,,1,0,29
Bang Your Head,Quiet Riot,,1,0,6
Metal Health,Quiet Riot,1983,1,1,4
The One I Love,R.E.M.,1987,1,1,35
It's the End of the World As We Know It (And I Feel Fine),R.E.M.,1987,1,1,30
Losing My Religion,R.E.M.,1991,1,1,27
Man On the Moon,R.E.M.,1992,1,1,23
Stand,R.E.M.,1988,1,1,18
Orange Crush,R.E.M.,1988,1,1,10
Since You Been Gone,Rainbow,1979,1,1,14
Man On The Silver Mountain,Rainbow,1975,1,1,5
Street Of Dreams,Rainbow,,1,0,5
Stone Cold,Rainbow,1982,1,1,3
Black Betty,Ram Jam,1977,1,1,57
Round and Round,Ratt,1984,1,1,48
Way Cool Jr.,Ratt,,1,0,9
Back for More,Ratt,,1,0,3
Under the Bridge,Red Hot Chili Peppers,1991,1,1,28
Scar Tissue,Red Hot Chili Peppers,1999,1,1,8
Soul to Squeeze,Red Hot Chili Peppers,1993,1,1,8
Give It Away,Red Hot Chili Peppers,1991,1,1,7
Californication,Red Hot Chili Peppers,1999,1,1,4
Dani California,Red Hot Chili Peppers,2006,1,1,3
Breaking the Girl,Red Hot Chili Peppers,1992,1,1,1
By the Way,Red Hot Chili Peppers,2002,1,1,1
Lunatic Fringe,Red Rider,1981,1,1,52
Take It on the Run,REO Speedwagon,1981,1,1,46
Roll With the Changes,REO Speedwagon,,1,0,43
Keep On Loving You,REO Speedwagon,1980,1,1,23
Ridin' the Storm Out,REO Speedwagon,,1,0,20
Time For Me To Fly,REO Speedwagon,,1,0,16
Golden Country,REO Speedwagon,,1,0,4
Like You Do,REO Speedwagon,,1,0,3
I Can't Fight This Feeling,REO Speedwagon,1984,1,1,2
Back On The Road Again,REO Speedwagon,,1,0,1
Don't Let Him Go,REO Speedwagon,,1,0,1
Keep Pushin'  1977,REO Speedwagon,,1,0,1
"Rock And Roll, Hoochie Koo",Rick Derringer,1974,1,1,55
Jessie's Girl,Rick Springfield,1981,1,1,2
It Don't Come Easy,Ringo Starr,1971,1,1,5
Photograph,Ringo Starr,1973,1,1,4
No No Song,Ringo Starr,1974,1,1,3
Back Off Boogaloo,Ringo Starr,1972,1,1,2
Your're Sixteen,Ringo Starr,1974,1,1,2
Early 1970 [*],Ringo Starr,1971,1,1,1
Bad Case Of Lovin' You,Robert Palmer,1979,1,1,42
Addicted to Love,Robert Palmer,1985,1,1,11
Simply Irresistible,Robert Palmer,1988,1,1,1
In The Mood,Robert Plant,1983,1,1,26
Big Log,Robert Plant,1983,1,1,11
Little By Little,Robert Plant,,1,0,8
No Easy Way Out,Robert Tepper,,1,0,1
Too Rolling Stoned,Robin Trower,,1,0,5
Bridge of Sighs,Robin Trower,1974,1,1,3
Little Bit of Sympathy,Robin Trower,,1,0,1
"Oh, Well",Rockets,,1,0,1
Tired Of Toein' The Line,Rocky Burnette,,1,0,1
Maggie May,Rod Stewart,1971,1,1,49
Hot Legs,Rod Stewart,,1,0,33
The First Cut Is The Deepest,Rod Stewart,1976,1,1,24
Every Picture Tells A Story,Rod Stewart,1971,1,1,15
You Wear It Well,Rod Stewart,1972,1,1,7
Reason to Believe,Rod Stewart,1971,1,1,5
I Know I'm Losing You,Rod Stewart,,1,0,2
Stay with Me,Rod Stewart,,1,0,2
Tonight's the Night (Gonna Be Alright),Rod Stewart,1976,1,1,2
You're In My Heart (The Final Acclaim),Rod Stewart,1977,1,1,1
Free Me,Roger Daltry,,1,0,1
Had a Dream (Sleeping With the Enemy),Roger Hodgson,,1,0,1
The Logical Song,Roger Hodgson,1979,1,1,1
Gimme Shelter,Rolling Stones,1969,1,1,96
Miss You,Rolling Stones,1978,1,1,89
Honky Tonk Women,Rolling Stones,1969,1,1,87
Beast Of Burden,Rolling Stones,1978,1,1,86
Start Me Up,Rolling Stones,1981,1,1,83
Sympathy For The Devil,Rolling Stones,1968,1,1,81
Jumpin' Jack Flash,Rolling Stones,1968,1,1,72
You Can't Always Get What You Want,Rolling Stones,1969,1,1,62
(I Can't Get No) Satisfaction,Rolling Stones,1965,1,1,60
Paint It Black,Rolling Stones,1966,1,1,58
It's Only Rock 'n Roll,Rolling Stones,1974,1,1,57
Under My Thumb,Rolling Stones,1966,1,1,42
Brown Sugar,Rolling Stones,1971,1,1,37
Shattered,Rolling Stones,1978,1,1,36
Angie,Rolling Stones,1973,1,1,32
Doo Doo Doo Doo Doo (Heartbreaker),Rolling Stones,1973,1,1,21
She's So Cold,Rolling Stones,,1,0,21
Get Off Of My Cloud,Rolling Stones,1965,1,1,17
Ain't Too Proud to Beg,Rolling Stones,1974,1,1,14
Tumbling Dice,Rolling Stones,1972,1,1,11
Street Fighting Man,Rolling Stones,1968,1,1,8
Let's Spend the Night Together,Rolling Stones,1967,1,1,6
Mother's Little Helper,Rolling Stones,1966,1,1,6
Bitch,Rolling Stones,1971,1,1,5
Can't You Hear Me Knocking,Rolling Stones,1971,1,1,5
Wild Horses,Rolling Stones,1971,1,1,5
Happy,Rolling Stones,1972,1,1,4
Monkey Man,Rolling Stones,1969,1,1,4
Da Da Doo Ron Ron,Rolling Stones,,1,0,3
Heartbreaker,Rolling Stones,1973,1,1,3
Waiting on a Friend,Rolling Stones,1981,1,1,3
Hand of Fate,Rolling Stones,1976,1,1,2
Hang Fire,Rolling Stones,1981,1,1,2
Midnight Rambler,Rolling Stones,1969,1,1,2
THE LAST TIME,Rolling Stones,1965,1,1,2
TIME IS ON MY SIDE,Rolling Stones,,1,0,2
19th Nervous Breakdown,Rolling Stones,1966,1,1,1
Almost Hear You Sigh,Rolling Stones,1989,1,1,1
CAROL,Rolling Stones,,1,0,1
Dance Little Sister,Rolling Stones,1980,1,1,1
Doom And Gloom,Rolling Stones,2012,1,1,1
Emotional Rescue,Rolling Stones,1980,1,1,1
Fortune Teller,Rolling Stones,,1,0,1
Get Off My Cloud,Rolling Stones,1965,1,1,1
IT'S ALL OVER NOW,Rolling Stones,1964,1,1,1
Just My Imagination,Rolling Stones,,1,0,1
Let It Bleed,Rolling Stones,1969,1,1,1
Like A Rolling Stone,Rolling Stones,,1,0,1
Little Queenie,Rolling Stones,,1,0,1
She's a Rainbow,Rolling Stones,1967,1,1,1
THE SPIDER AND THE FLY,Rolling Stones,1965,1,1,1
Time Waits for No One,Rolling Stones,1975,1,1,1
UNDERCOVER OF THE NIGHT,Rolling Stones,1983,1,1,1
